stu_code,spr_code,stu_gend,Disability,scj_crsc,scj_moac,stu_hqlc,Age,Class,spr_levc,Tariff,Yr1Mark,FinalMark,MitClaims,StuSup
1400002,1400002/1,F,No,BAAAH,FT,HUK,21,3,L6,320,65.38,71.48,0,6
1400005,1400005/1,F,No,BAPESC,FT,HUK,21,1,L6,180,59.13,65.05,1,5
1400012,1400012/1,F,No,BAAAH,FT,X06,21,6,L6,360,59.75,60.28,0,13
1400021,1400021/1,F,No,BAAAH,FT,X06,20,2,L6,420,58,58.95,0,3
1400077,1400077/1,F,No,BSCSPTH,FT,X06,21,2,L6,390,61.5,60.83,1,0
1400078,1400078/1,F,No,BASPBUSMAN,FT,Q80,21,1,L6,350,68.25,73.23,0,0
1400090,1400090/1,F,No,BABM,FT,X04,29,9,L6,,66.88,68.2,0,10
1400094,1400094/1,M,No,BAAAH,FT,X06,21,2,L6,370,64,64.93,0,1
1400098,1400098/1,F,No,BAAAH,FT,X06,21,9,L6,031,66.13,66.18,0,1
1400108,1400108/1,F,No,BAAAH,FT,X06,21,9,L6,390,65,66.33,0,2
1400116,1400116/1,F,No,BAAAH,FT,X06,21,2,L6,420,69,70.9,0,1
1400121,1400121/1,F,Yes,BSCPSYCH,FT,X06,22,2,L6,220,67.75,66.95,1,29
1400124,1400124/1,M,No,BAPESC,FT,X06,20,6,L6,220,60.75,65.28,1,6
1400137,1400137/1,F,No,BAAAH,FT,X06,22,9,L6,280,71.5,75.3,0,12
1400145,1400145/1,M,No,BAAAH,FT,Q80,27,2,L6,240,69.13,75.5,0,0
1400165,1400165/1,F,No,BAAAH,FT,X06,21,9,L6,270,60.63,64.9,0,0
1400173,1400173/1,M,No,BAPESC,FT,X06,21,1,L6,500,52.88,62.78,0,1
1400175,1400175/1,F,No,BASPST,FT,X06,21,3,L6,360,74.13,77.2,0,0
1400187,1400187/1,F,No,BAAAH,FT,X06,20,4,L6,520,65.75,62.43,0,0
1400189,1400189/1,M,No,BAAAH,FT,X06,21,2,L6,310,66.25,71.53,0,0
1400204,1400204/1,F,No,BABM,FT,X06,21,6,L6,220,66.88,64.7,0,0
1400205,1400205/1,F,Yes,BAAAH,FT,X06,21,2,L6,290,65.38,68.68,0,12
1400219,1400219/1,M,No,BAAAH,FT,X06,21,2,L6,250,70.63,61.8,0,0
1400226,1400226/1,M,Yes,BAAAH,FT,X06,23,9,L6,420,66.13,71.8,0,2
1400229,1400229/1,F,No,BABM,FT,X06,21,1,L6,300,56.75,62.43,1,18
1400242,1400242/1,F,No,BABM,FT,X06,20,2,L6,340,74.13,69.38,0,0
1400256,1400256/1,M,No,BAPESC,FT,HUK,23,9,L6,320,63.5,62.33,0,2
1400278,1400278/1,F,No,BAAAH,FT,X06,21,1,L6,300,66.29,65.83,0,0
1400279,1400279/1,F,No,BSCSPTH,FT,X06,21,9,L6,400,70.5,69.75,0,22
1400280,1400280/1,M,Yes,BACOMMU,FT,Q80,23,4,L6,400,60.13,70.68,0,10
1400286,1400286/1,F,No,BABM,FT,X06,21,6,L6,220,57.75,62.6,0,0
1400291,1400291/1,M,Yes,BSCSPEX,FT,HUK,22,2,L6,280,61.63,59.43,1,12
1400300,1400300/1,M,No,BACOMMU,FT,R80,21,,L6,420,59.63,65.68,0,0
1400308,1400308/1,F,No,BAAAH,FT,Q80,23,1,L6,320,74.58,74.85,0,0
1400309,1400309/1,F,No,BAAAH,FT,X06,20,1,L6,280,67.25,67.6,0,9
1400312,1400312/1,F,No,BAAAH,FT,X06,20,9,L6,360,67.25,64.38,1,1
1400313,1400313/1,F,No,BAPESC,FT,X06,22,1,L6,300,63.38,77.08,5,29
1400317,1400317/3,M,No,BAPESEC,FT,HUK,21,9,L6,240,60.38,61.45,0,0
1400344,1400344/1,F,Yes,BAAAH,FT,X06,21,1,L6,280,58.63,60.3,1,2
1400349,1400349/1,F,No,BAAAH,FT,HUK,20,5,L6,300,65.75,63.63,0,1
1400373,1400373/1,F,Yes,BAPESC,FT,X06,21,5,L6,250,60.25,66.33,0,27
1400387,1400387/1,F,No,BSCSPEX,FT,HUK,21,2,L6,380,57.63,62.65,1,9
1400389,1400389/1,F,No,BAPESC,FT,X06,21,3,L6,430,50.5,54.03,0,0
1400401,1400401/1,F,No,BAAAH,FT,X06,21,9,L6,420,68.25,67.88,0,1
1400402,1400402/1,F,Yes,BAAAH,FT,X06,21,4,L6,310,67.13,62.85,0,52
1400403,1400403/1,M,Yes,BACOMMU,FT,HUK,22,3,L6,420,64.88,67.25,0,0
1400424,1400424/1,F,No,BABM,FT,X06,21,1,L6,300,75.13,67.48,0,1
1400429,1400429/1,M,Yes,BAPESC,FT,Q80,25,3,L6,570,65.63,65.73,0,36
1400435,1400435/1,M,Yes,BAAAH,FT,X06,22,3,L6,260,57.75,64.13,0,11
1400436,1400436/1,M,Yes,BAAAH,FT,X06,21,2,L6,420,61.88,60.85,0,23
1400441,1400441/1,M,No,BASPDEVCO,FT,X06,21,5,L6,260,51.75,49.3,0,0
1400453,1400453/1,M,Yes,BAAAH,FT,X06,21,1,L6,330,63.63,62.8,0,19
1400455,1400455/1,F,No,BAAAH,FT,X06,21,6,L6,500,67.83,74.08,0,0
1400461,1400461/1,M,No,BAAAH,FT,X06,21,3,L6,440,64,65.98,0,13
1400462,1400462/1,M,No,BAPESC,FT,X06,20,6,L6,200,59.13,57.4,0,1
1400474,1400474/1,M,No,BSCSPEX,FT,HUK,21,1,L6,320,64.38,75.53,0,0
1400487,1400487/1,F,Yes,BAAAH,FT,P50,20,1,L6,350,58.63,60.9,0,32
1400489,1400489/1,F,No,BAAAH,FT,X06,21,9,L6,200,60.88,59.63,0,6
1400490,1400490/1,F,No,BAPESC,FT,X06,21,3,L6,250,61,62.03,0,0
1400505,1400505/1,F,No,BAAAH,FT,Q80,22,7,L6,360,51.75,59.35,0,21
1400510,1400510/1,F,No,BAAAH,FT,X06,21,2,L6,400,63.38,65.83,0,2
1400512,1400512/1,F,No,BABM,FT,X06,21,4,L6,200,69.38,58.75,0,23
1400515,1400515/1,F,No,BAPESC,FT,X06,21,6,L6,420,59.38,73.55,0,0
1400516,1400516/1,F,No,BAAAH,FT,P50,21,1,L6,510,75.46,71,0,16
1400518,1400518/1,F,No,BAPESC,FT,X06,21,6,L6,310,61.5,65.53,0,0
1400521,1400521/1,M,Yes,BSCSPEX,FT,X06,21,2,L6,260,66,72.85,0,20
1400522,1400522/1,F,No,BAAAH,FT,X04,21,1,L6,350,75.54,73.1,0,0
1400526,1400526/1,F,No,BAAAH,FT,HUK,21,3,L6,300,61.75,58.73,0,2
1400552,1400552/1,F,No,BAAAH,FT,X06,21,6,L6,220,59.25,63,0,0
1400555,1400555/1,M,No,BASPDEVCO,FT,X06,21,1,L6,210,55.13,51.2,0,0
1400562,1400562/1,M,No,BAPESC,FT,X06,21,6,L6,120,51.63,67.43,0,2
1400587,1400587/1,M,No,BSCSPEX,FT,X06,21,3,L6,280,59.5,68.13,0,0
1400590,1400590/1,F,No,BAAAH,FT,X06,21,9,L6,500,57.63,59.75,0,3
1400591,1400591/1,F,No,BABM,FT,X06,21,1,L6,280,74,65.2,0,0
1400593,1400593/1,F,No,BAPESC,FT,X06,21,4,L6,150,50.88,54.03,0,0
1400626,1400626/1,M,Yes,BAAAH,FT,X04,22,2,L6,280,59.88,61.1,0,62
1400629,1400629/1,F,No,BSCSPTH,FT,X06,21,1,L6,200,62.75,60.15,1,1
1400633,1400633/1,F,Yes,BAAAH,FT,X06,21,6,L6,300,62.75,66.33,0,15
1400637,1400637/1,F,No,BAPEPRI,FT,C90,21,7,L6,280,60,55.73,0,7
1400638,1400638/1,F,No,BAAAH,FT,X06,21,3,L6,200,56.88,58.9,0,0
1400674,1400674/1,F,No,BAPESC,FT,X06,21,2,L6,280,64.88,70,0,0
1400710,1400710/1,F,No,BAAAH,FT,X06,22,6,L6,080,60.5,59.2,0,0
1400727,1400727/1,F,No,BAPESC,FT,X06,21,9,L6,300,63.88,72.5,0,0
1400728,1400728/1,F,No,BSCSPTH,FT,X06,20,9,L6,480,59.63,59.68,0,2
1400733,1400733/1,F,Yes,BSCSPEX,FT,Q80,21,5,L6,380,69,69.18,0,16
1400741,1400741/1,F,No,BSCPSYCH,FT,X06,20,9,L6,280,67.5,69.7,1,2
1400745,1400745/1,M,No,BAAAH,FT,P50,21,9,L6,320,65.83,68.25,0,0
1400762,1400762/1,F,No,BAAAH,FT,X06,21,2,L6,500,67.04,70.8,0,0
1400766,1400766/1,M,No,BSCMAML,FT,X06,22,6,L6,310,64.35,63.1,0,0
1400766,1400766/1,M,No,BSCMAML,FT,X06,22,6,L6,310,64.15,63.1,0,0
1400771,1400771/1,F,Yes,BAAAH,FT,X06,21,2,L6,250,65.25,66.98,0,31
1400773,1400773/1,M,Yes,BSCPSYCH,FT,X06,22,9,L6,260,65.13,64.73,0,10
1400775,1400775/1,M,No,BAAAH,FT,X06,23,2,L6,380,59.25,55.55,0,0
1400792,1400792/1,M,No,BAAAH,FT,X06,22,6,L6,260,59.75,68.48,0,0
1400799,1400799/1,F,No,BAAAH,FT,X06,21,2,L6,320,69.42,72.73,0,0
1400808,1400808/1,F,No,BAAAH,FT,X06,23,3,L6,340,58.88,57.5,0,0
1400823,1400823/1,M,Yes,BAAAH,FT,X06,21,1,L6,200,60.13,61.6,0,6
1400836,1400836/1,F,No,BAAAH,FT,X06,21,9,L6,370,65.38,64.93,0,26
1400842,1400842/1,M,Yes,BAPESC,FT,X06,21,1,L6,210,63.25,67.1,0,24
1400853,1400853/2,F,No,BASPDEVCO,FT,X06,22,2,L6,430,47.75,51.23,1,4
1400871,1400871/1,F,No,BAPESC,FT,X06,21,1,L6,380,71.25,67.15,0,1
1400874,1400874/1,M,Yes,BAAAH,FT,X06,22,2,L6,420,64.13,66.08,0,1
1400876,1400876/1,F,No,BAAAH,FT,X06,22,9,L6,420,71.88,73.53,0,2
1400886,1400886/1,F,No,BAAAH,FT,X06,21,1,L6,420,60.13,67.03,0,0
1400892,1400892/1,F,No,BASPST,FT,X06,20,7,L6,230,57.88,62.8,0,0
1400924,1400924/1,M,No,BSCSEPS,FT,X06,22,2,L6,190,57.75,62.25,1,0
1400943,1400943/1,F,No,BAAAH,FT,X06,21,1,L6,230,55.88,57.8,0,0
1400948,1400948/1,F,No,BAAAH,FT,X06,20,2,L6,360,64.88,67.25,0,0
1400953,1400953/1,F,No,BABM,FT,X06,20,9,L6,190,58.75,57.35,0,5
1400959,1400959/2,M,No,BSCSPSCO,FT,X06,20,2,L6,370,56.13,65,0,0
1400966,1400966/1,M,Yes,BAAAH,FT,X06,20,2,L6,180,60.38,60.95,1,138
1400976,1400976/1,F,Yes,BAPESC,FT,X06,21,2,L6,540,68,75.65,2,55
1400980,1400980/1,F,No,BAAAH,FT,X06,21,7,L6,270,61.25,58.58,1,8
1400983,1400983/1,M,Yes,BAAAH,FT,X06,23,4,L6,280,60.5,65.55,0,0
1400987,1400987/1,F,No,BAAAH,FT,X05,21,2,L6,380,60.13,66.45,0,0
1400994,1400994/1,F,No,BAAAH,FT,X06,20,6,L6,340,74.13,68.83,1,1
1400995,1400995/1,M,No,BSCSPEX,FT,X06,21,2,L6,200,51.88,56.53,0,1
1400998,1400998/1,F,No,BAPESC,FT,X06,21,6,L6,200,50.38,62.38,0,0
1401000,1401000/1,M,Yes,BSCSEPS,FT,X06,21,9,L6,420,60.88,60.38,0,0
1401001,1401001/1,M,No,BAPESC,FT,X06,22,3,L6,380,55.88,59.03,0,0
1401002,1401002/1,M,Yes,BAPESC,FT,X06,21,9,L6,350,55.63,61.83,0,23
1401004,1401004/1,F,No,BAAAH,FT,X06,21,2,L6,290,64.13,64.63,0,5
1401012,1401012/1,M,No,BASPST,FT,X06,21,1,L6,360,65.63,64.35,0,0
1401024,1401024/1,M,No,BSCSPTH,FT,X04,23,4,L6,,77.63,75.5,0,2
1401029,1401029/1,F,No,BAAAH,FT,X06,20,6,L6,460,53.75,52.63,0,4
1401031,1401031/1,M,No,BAAAH,FT,X06,23,9,L6,300,62.5,71.43,0,0
1401038,1401038/1,M,No,BACOMMU,FT,HUK,22,1,L6,280,59.38,62.25,0,0
1401042,1401042/1,M,No,BAAAH,FT,MUK,21,9,L6,,62.75,63.53,0,3
1401054,1401054/1,M,Yes,BAAAH,FT,X06,21,2,L6,200,62.25,56.9,0,2
1401055,1401055/1,M,No,BSCSPEX,FT,X06,22,9,L6,260,53.38,64.9,0,1
1401056,1401056/1,F,No,BAAAH,FT,HUK,21,5,L6,350,66.63,60.2,0,0
1401057,1401057/1,M,No,BASPBUSMAN,FT,X06,22,3,L6,240,58.13,60.48,0,0
1401064,1401064/1,F,No,BAAAH,FT,X06,20,1,L6,300,62.38,65.95,0,0
1401079,1401079/1,F,No,BSCPSYCH,FT,X06,22,9,L6,300,72.75,69.7,0,0
1401110,1401110/1,M,No,BASPBUSMAN,FT,X06,21,2,L6,230,47.75,57.73,0,0
1401113,1401113/1,F,No,BAAAH,FT,X06,21,9,L6,250,65.13,67.38,0,10
1401133,1401133/1,F,No,BAPESC,FT,X06,21,7,L6,380,55.75,59.18,1,3
1401140,1401140/1,M,No,BACOMMU,FT,X06,21,3,L6,380,59.63,66.63,0,0
1401153,1401153/1,F,No,BAAAH,FT,M71,21,5,L6,220,59.13,63.88,1,1
1401155,1401155/1,F,Yes,BSCSPTH,FT,X06,21,1,L6,420,61.13,65.73,0,24
1401171,1401171/1,M,No,BABM,FT,X06,21,2,L6,300,70.13,70.53,0,1
1401172,1401172/1,F,No,BSCSEPS,FT,X06,21,2,L6,200,51.5,54.85,0,1
1401181,1401181/1,F,No,BAPESC,FT,X06,22,7,L6,440,64.5,65.63,0,1
1401183,1401183/1,F,No,BAAAH,FT,X06,21,1,L6,280,63.75,65.4,0,0
1401205,1401205/1,F,No,BAAAH,FT,X06,20,3,L6,330,63,65.23,0,18
1401219,1401219/1,M,No,BAAAH,FT,X06,21,4,L6,380,64.88,68.33,0,0
1401220,1401220/1,F,No,BAAAH,FT,X06,21,1,L6,320,65.88,62.2,0,0
1401240,1401240/1,F,No,BAAAH,FT,X06,22,5,L6,320,59.75,61.8,0,1
1401244,1401244/1,F,Yes,BAAAH,FT,X06,21,2,L6,260,63,58.7,0,36
1401255,1401255/1,F,No,BAAAH,FT,X06,21,1,L6,390,62.63,59.8,0,0
1401274,1401274/1,F,No,BAAAH,FT,P41,21,9,L6,340,55.63,59.7,0,3
1401275,1401275/1,F,No,BSCSPEX,FT,P41,22,1,L6,450,54,61.83,1,4
