stu_code,spr_code,stu_gend,Disability,scj_crsc,scj_moac,stu_hqlc,Age,Class,spr_levc,Tariff,Yr1Mark,FinalMark,MitClaims,StuSup
1500007,1500007/1,F,No,BAAAH,FT,P50,22,1,L6,470,72.63,72.2,0,0
1500012,1500012/1,F,No,BAAAH,FT,HUK,21,7,L6,250,54.25,55.8,0,15
1500018,1500018/1,F,Yes,BAAAH,FT,P41,21,2,L6,580,61.5,66.45,0,16
1500022,1500022/1,F,No,BAAAH,FT,P50,21,2,L6,240,65.75,68.08,0,0
1500028,1500028/1,F,No,BAAAH,FT,P42,21,9,L6,270,61,60.6,1,11
1500030,1500030/1,F,No,BAAAH,FT,Q80,21,2,L6,260,71.63,66,0,0
1500033,1500033/1,M,No,BAAAH,FT,HUK,21,2,L6,313,61.88,64.7,0,52
1500050,1500050/1,F,No,BAAAH,FT,P50,21,3,L6,380,59.25,61.38,0,1
1500053,1500053/1,F,No,BAAAH,FT,Q80,21,1,L6,270,74.95,73.65,0,0
1500056,1500056/1,M,No,BAPESEC,FT,JUK,20,3,L6,450,56,62.58,0,4
1500057,1500057/1,M,No,BSCSPTH,FT,Q80,21,3,L6,450,52.25,53.75,0,0
1500067,1500067/1,F,No,BAAAH,FT,P50,21,9,L6,360,62.88,65.45,0,18
1500112,1500112/1,F,Yes,BAAAH,FT,HUK,33,3,L6,240,55.13,59.78,1,30
1500115,1500115/1,F,No,BAAAH,FT,P41,20,6,L6,360,57.13,61.23,0,2
1500130,1500130/1,F,No,BAAAH,FT,Q80,20,4,L6,420,74.25,76,0,11
1500141,1500141/1,M,No,BAAAH,FT,Q80,30,9,L6,,57.38,54.28,1,11
1500143,1500143/1,F,No,BAAAH,FT,HUK,21,6,L6,410,63.13,67.8,0,17
1500149,1500149/1,F,Yes,BAAAH,FT,P50,21,2,L6,560,67.21,67.83,0,41
1500157,1500157/1,F,Yes,BAAAH,FT,P50,21,1,L6,250,63.63,60.95,3,152
1500168,1500168/1,M,No,BAAAH,FT,P50,21,9,L6,300,65,66.35,0,1
1500196,1500196/1,F,No,BAAAH,FT,P50,22,5,L6,200,60,61.98,0,0
1500218,1500218/1,F,No,BAPESC,FT,P50,21,2,L6,300,65.25,71.55,0,5
1500278,1500278/1,F,No,BACOMMU,FT,HUK,21,2,L6,310,53.38,54.35,2,5
1500287,1500287/1,F,No,BAAAH,FT,P42,21,5,L6,425,57.25,63.8,0,3
1500313,1500313/1,F,No,BAAAH,FT,P50,21,1,L6,400,67.38,67.83,0,0
1500333,1500333/1,F,No,BAPESEC,FT,M44,21,9,L6,280,64.13,64.95,0,3
1500349,1500349/1,F,No,BAAAH,FT,P50,21,4,L6,310,62.13,66.48,1,7
1500351,1500351/1,M,No,BAAAH,FT,HUK,21,9,L6,305,64.38,66.25,0,21
1500393,1500393/1,F,Yes,BSCSPTH,FT,Q80,21,1,L6,240,58,56.23,0,33
1500394,1500394/1,M,No,BAAAH,FT,P50,21,1,L6,350,62.63,60.95,0,16
1500402,1500402/1,M,No,BASPDEVCO,FT,P50,21,9,L6,260,57.63,63.58,0,0
1500404,1500404/1,F,No,BAAAH,FT,P50,20,6,L6,270,64.63,64.3,0,0
1500407,1500407/1,F,No,BAAAH,FT,P42,21,6,L6,440,66.75,68.15,0,3
1500448,1500448/1,M,Yes,BACOMMU,FT,HUK,22,6,L6,380,64.5,56.43,2,14
1500456,1500456/1,F,Yes,BAAAH,FT,C80,21,1,L6,400,66.75,66.48,0,33
1500461,1500461/1,M,No,BAAAH,FT,HUK,24,6,L6,240,70.13,68.38,0,1
1500481,1500481/1,F,No,BAAAH,FT,HUK,21,3,L6,440,64.88,69.48,0,0
1500482,1500482/1,F,No,BAAAH,FT,P50,21,4,L6,290,75.63,72.93,0,0
1500484,1500484/1,F,No,BAAAH,FT,HUK,21,1,L6,330,63,65.23,0,0
1500488,1500488/1,M,No,BAAAH,FT,P50,20,6,L6,280,66.29,67.38,0,0
1500491,1500491/1,M,No,BASPDEVCO,FT,P50,21,3,L6,260,54.5,56.03,0,0
1500517,1500517/1,F,No,BAPESEC,FT,HUK,21,4,L6,200,68.63,75.38,0,0
1500545,1500545/1,F,No,BAAAH,FT,P50,20,9,L6,460,62.13,66.05,0,2
1500585,1500585/1,F,No,BSCSPTH,FT,X04,21,9,L6,,66,71.73,0,5
1500607,1500607/1,F,No,BAAAH,FT,P50,21,3,L6,350,66.5,63.25,0,0
1500608,1500608/1,F,No,BAAAH,FT,P42,20,9,L6,320,53.5,70.7,0,0
1500610,1500610/1,M,No,BAAAH,FT,P50,21,3,L6,460,72.42,72.95,0,1
1500612,1500612/1,M,No,BAPESC,FT,HUK,21,7,L6,480,69.38,67.73,0,1
1500614,1500614/1,M,No,BAPESC,FT,P50,21,6,L6,320,47.5,51.08,0,3
1500620,1500620/1,F,No,BAAAH,FT,P50,21,2,L6,320,57.25,62.23,0,0
1500624,1500624/1,F,No,BABM,FT,P50,23,1,L6,340,70,82.33,2,27
1500627,1500627/3,F,No,BSCSPTH,FT,P50,21,1,L6,410,61.88,70.48,0,1
1500634,1500634/1,F,No,BAAAH,FT,HUK,21,3,L6,410,64.25,64.5,0,1
1500644,1500644/1,M,No,BAAAH,FT,P50,21,5,L6,260,62.63,66.68,0,0
1500646,1500646/1,M,No,BSBM,FT,P50,20,3,L6,400,68.25,73.25,0,3
1500647,1500647/1,F,Yes,BAAAH,FT,P50,21,1,L6,280,73.58,76.65,0,27
1500663,1500663/1,F,No,BAAAH,FT,P50,20,6,L6,415,65.63,63.68,0,1
