date,areaType,areaCode,areaName,newCasesByPublishDate,newDeaths28DaysByPublishDate
12/02/2021,utla,E06000007,Warrington,53,3
11/02/2021,utla,E06000007,Warrington,57,0
10/02/2021,utla,E06000007,Warrington,48,1
09/02/2021,utla,E06000007,Warrington,75,3
08/02/2021,utla,E06000007,Warrington,35,2
07/02/2021,utla,E06000007,Warrington,77,0
05/02/2021,utla,E06000007,Warrington,45,4
04/02/2021,utla,E06000007,Warrington,88,2
03/02/2021,utla,E06000007,Warrington,76,4
02/02/2021,utla,E06000007,Warrington,64,5
01/02/2021,utla,E06000007,Warrington,87,3
31/01/2021,utla,E06000007,Warrington,113,5
30/01/2021,utla,E06000007,Warrington,96,2
29/01/2021,utla,E06000007,Warrington,130,4
28/01/2021,utla,E06000007,Warrington,98,5
27/01/2021,utla,E06000007,Warrington,92,5
26/01/2021,utla,E06000007,Warrington,95,6
25/01/2021,utla,E06000007,Warrington,107,4
24/01/2021,utla,E06000007,Warrington,92,3
23/01/2021,utla,E06000007,Warrington,142,1
22/01/2021,utla,E06000007,Warrington,147,13
21/01/2021,utla,E06000007,Warrington,120,5
20/01/2021,utla,E06000007,Warrington,167,3
19/01/2021,utla,E06000007,Warrington,117,7
18/01/2021,utla,E06000007,Warrington,171,1
17/01/2021,utla,E06000007,Warrington,120,2
16/01/2021,utla,E06000007,Warrington,137,4
15/01/2021,utla,E06000007,Warrington,163,3
14/01/2021,utla,E06000007,Warrington,215,5
13/01/2021,utla,E06000007,Warrington,244,3
12/01/2021,utla,E06000007,Warrington,193,6
11/01/2021,utla,E06000007,Warrington,178,3
10/01/2021,utla,E06000007,Warrington,311,2
09/01/2021,utla,E06000007,Warrington,241,7
08/01/2021,utla,E06000007,Warrington,237,0
07/01/2021,utla,E06000007,Warrington,239,2
06/01/2021,utla,E06000007,Warrington,190,3
05/01/2021,utla,E06000007,Warrington,231,0
04/01/2021,utla,E06000007,Warrington,272,2
03/01/2021,utla,E06000007,Warrington,303,3
02/01/2021,utla,E06000007,Warrington,183,1
01/01/2021,utla,E06000007,Warrington,178,1
31/12/2020,utla,E06000007,Warrington,133,0
30/12/2020,utla,E06000007,Warrington,110,3
29/12/2020,utla,E06000007,Warrington,173,0
28/12/2020,utla,E06000007,Warrington,79,4
27/12/2020,utla,E06000007,Warrington,104,0
26/12/2020,utla,E06000007,Warrington,52,5
25/12/2020,utla,E06000007,Warrington,61,3
24/12/2020,utla,E06000007,Warrington,126,3
23/12/2020,utla,E06000007,Warrington,71,3
22/12/2020,utla,E06000007,Warrington,75,1
21/12/2020,utla,E06000007,Warrington,91,2
20/12/2020,utla,E06000007,Warrington,118,1
19/12/2020,utla,E06000007,Warrington,74,2
18/12/2020,utla,E06000007,Warrington,37,2
17/12/2020,utla,E06000007,Warrington,61,2
16/12/2020,utla,E06000007,Warrington,74,1
15/12/2020,utla,E06000007,Warrington,72,1
14/12/2020,utla,E06000007,Warrington,42,2
13/12/2020,utla,E06000007,Warrington,34,0
12/12/2020,utla,E06000007,Warrington,68,3
11/12/2020,utla,E06000007,Warrington,57,3
10/12/2020,utla,E06000007,Warrington,29,4
09/12/2020,utla,E06000007,Warrington,45,2
08/12/2020,utla,E06000007,Warrington,43,0
07/12/2020,utla,E06000007,Warrington,34,1
06/12/2020,utla,E06000007,Warrington,27,1
05/12/2020,utla,E06000007,Warrington,45,2
04/12/2020,utla,E06000007,Warrington,33,0
03/12/2020,utla,E06000007,Warrington,30,2
02/12/2020,utla,E06000007,Warrington,49,0
01/12/2020,utla,E06000007,Warrington,57,3
12/02/2021,utla,E10000018,Leicestershire,269,12
11/02/2021,utla,E10000018,Leicestershire,179,6
10/02/2021,utla,E10000018,Leicestershire,143,20
09/02/2021,utla,E10000018,Leicestershire,122,11
08/02/2021,utla,E10000018,Leicestershire,186,1
30/11/2020,utla,E06000007,Warrington,18,1
29/11/2020,utla,E06000007,Warrington,28,0
07/02/2021,utla,E10000018,Leicestershire,194,3
06/02/2021,utla,E10000018,Leicestershire,221,9
28/11/2020,utla,E06000007,Warrington,48,1
05/02/2021,utla,E10000018,Leicestershire,226,15
04/02/2021,utla,E10000018,Leicestershire,208,9
03/02/2021,utla,E10000018,Leicestershire,204,14
02/02/2021,utla,E10000018,Leicestershire,155,16
01/02/2021,utla,E10000018,Leicestershire,214,1
26/11/2020,utla,E06000007,Warrington,42,2
25/11/2020,utla,E06000007,Warrington,55,1
31/01/2021,utla,E10000018,Leicestershire,256,4
30/01/2021,utla,E10000018,Leicestershire,261,13
29/01/2021,utla,E10000018,Leicestershire,264,16
24/11/2020,utla,E06000007,Warrington,37,0
23/11/2020,utla,E06000007,Warrington,44,1
22/11/2020,utla,E06000007,Warrington,41,2
21/11/2020,utla,E06000007,Warrington,44,0
28/01/2021,utla,E10000018,Leicestershire,280,9
27/01/2021,utla,E10000018,Leicestershire,246,20
20/11/2020,utla,E06000007,Warrington,96,5
26/01/2021,utla,E10000018,Leicestershire,154,13
19/11/2020,utla,E06000007,Warrington,45,2
25/01/2021,utla,E10000018,Leicestershire,201,2
24/01/2021,utla,E10000018,Leicestershire,331,0
23/01/2021,utla,E10000018,Leicestershire,307,15
22/01/2021,utla,E10000018,Leicestershire,323,13
21/01/2021,utla,E10000018,Leicestershire,335,16
18/11/2020,utla,E06000007,Warrington,85,7
17/11/2020,utla,E06000007,Warrington,67,0
16/11/2020,utla,E06000007,Warrington,0,4
20/01/2021,utla,E10000018,Leicestershire,335,11
19/01/2021,utla,E10000018,Leicestershire,279,10
18/01/2021,utla,E10000018,Leicestershire,338,1
15/11/2020,utla,E06000007,Warrington,76,0
17/01/2021,utla,E10000018,Leicestershire,305,5
16/01/2021,utla,E10000018,Leicestershire,300,10
15/01/2021,utla,E10000018,Leicestershire,520,12
14/01/2021,utla,E10000018,Leicestershire,321,12
13/01/2021,utla,E10000018,Leicestershire,445,17
12/01/2021,utla,E10000018,Leicestershire,359,10
11/01/2021,utla,E10000018,Leicestershire,333,4
10/01/2021,utla,E10000018,Leicestershire,305,3
09/01/2021,utla,E10000018,Leicestershire,394,12
08/01/2021,utla,E10000018,Leicestershire,366,7
07/01/2021,utla,E10000018,Leicestershire,327,11
06/01/2021,utla,E10000018,Leicestershire,449,14
05/01/2021,utla,E10000018,Leicestershire,359,16
04/01/2021,utla,E10000018,Leicestershire,500,4
03/01/2021,utla,E10000018,Leicestershire,254,9
02/01/2021,utla,E10000018,Leicestershire,456,1
01/01/2021,utla,E10000018,Leicestershire,399,11
14/11/2020,utla,E06000007,Warrington,88,2
13/11/2020,utla,E06000007,Warrington,114,1
12/11/2020,utla,E06000007,Warrington,110,3
11/11/2020,utla,E06000007,Warrington,143,4
10/11/2020,utla,E06000007,Warrington,87,4
09/11/2020,utla,E06000007,Warrington,66,3
08/11/2020,utla,E06000007,Warrington,86,0
07/11/2020,utla,E06000007,Warrington,138,5
31/12/2020,utla,E10000018,Leicestershire,396,15
