areaCode,areaName,areaType,date,newCasesByPublishDate,newCasesByPublishDateRollingRate,newDeaths28DaysByPublishDate
E12000001,North East,region,30/04/2021,92,23.1,0
E12000001,North East,region,29/04/2021,94,23.3,0
E12000001,North East,region,28/04/2021,89,23.4,2
E12000001,North East,region,27/04/2021,129,24.5,0
E12000001,North East,region,26/04/2021,88,22.8,0
E12000001,North East,region,25/04/2021,69,23.6,0
E12000001,North East,region,24/04/2021,57,23.4,0
E12000001,North East,region,23/04/2021,95,24.3,0
E12000001,North East,region,22/04/2021,99,24.1,1
E12000001,North East,region,21/04/2021,118,23.9,1
E12000001,North East,region,20/04/2021,83,21.7,0
E12000001,North East,region,19/04/2021,109,23,0
E12000001,North East,region,18/04/2021,63,25.8,1
E12000001,North East,region,17/04/2021,81,25.8,0
E12000001,North East,region,16/04/2021,90,25.3,5
E12000001,North East,region,15/04/2021,94,21.9,0
E12000001,North East,region,14/04/2021,59,23,3
E12000001,North East,region,13/04/2021,117,26,0
E12000001,North East,region,12/04/2021,184,24.4,0
E12000001,North East,region,11/04/2021,63,21.9,1
E12000001,North East,region,10/04/2021,68,23.1,2
E12000001,North East,region,09/04/2021,0,26.7,3
E12000001,North East,region,08/04/2021,123,31.8,2
E12000001,North East,region,07/04/2021,139,36.2,5
E12000001,North East,region,06/04/2021,74,41.3,0
E12000001,North East,region,05/04/2021,118,44.2,0
E12000001,North East,region,04/04/2021,94,55.3,1
E12000001,North East,region,03/04/2021,166,53.2,0
E12000001,North East,region,02/04/2021,134,47,1
E12000001,North East,region,01/04/2021,242,58,2
E12000001,North East,region,31/03/2021,275,65.4,0
E12000001,North East,region,30/03/2021,152,68.9,3
E12000001,North East,region,29/03/2021,414,75.3,0
E12000001,North East,region,28/03/2021,38,67.8,2
E12000001,North East,region,27/03/2021,0,75.1,0
E12000001,North East,region,26/03/2021,428,85.2,2
E12000001,North East,region,25/03/2021,440,80.2,2
E12000001,North East,region,24/03/2021,367,77.7,3
E12000001,North East,region,23/03/2021,323,73.7,5
E12000001,North East,region,22/03/2021,214,71,0
E12000001,North East,region,21/03/2021,232,74.3,3
E12000001,North East,region,20/03/2021,271,73.8,4
E12000001,North East,region,19/03/2021,293,73.3,3
E12000001,North East,region,18/03/2021,375,78.6,0
E12000001,North East,region,17/03/2021,260,75.7,5
E12000001,North East,region,16/03/2021,251,78.8,11
E12000001,North East,region,15/03/2021,301,80.2,3
E12000001,North East,region,14/03/2021,219,80.4,1
E12000001,North East,region,13/03/2021,259,80.3,4
