areaCode,areaName,areaType,date,newCasesByPublishDate
E07000224,Arun,ltla,29/07/2021,57
E07000224,Arun,ltla,28/07/2021,62
E07000224,Arun,ltla,27/07/2021,60
E07000224,Arun,ltla,26/07/2021,53
E07000224,Arun,ltla,25/07/2021,91
E07000224,Arun,ltla,24/07/2021,61
E07000224,Arun,ltla,23/07/2021,124
E07000224,Arun,ltla,22/07/2021,135
E07000224,Arun,ltla,21/07/2021,89
E07000224,Arun,ltla,20/07/2021,160
E07000224,Arun,ltla,19/07/2021,123
E07000224,Arun,ltla,18/07/2021,131
E07000224,Arun,ltla,17/07/2021,161
E07000224,Arun,ltla,16/07/2021,109
E07000224,Arun,ltla,15/07/2021,169
E07000224,Arun,ltla,14/07/2021,82
E07000224,Arun,ltla,13/07/2021,103
E07000224,Arun,ltla,12/07/2021,103
E07000224,Arun,ltla,11/07/2021,41
E07000224,Arun,ltla,10/07/2021,72
E07000224,Arun,ltla,09/07/2021,63
E07000224,Arun,ltla,08/07/2021,66
E07000224,Arun,ltla,07/07/2021,74
E07000224,Arun,ltla,06/07/2021,45
E07000224,Arun,ltla,05/07/2021,60
E07000224,Arun,ltla,04/07/2021,36
E07000224,Arun,ltla,03/07/2021,67
E07000224,Arun,ltla,02/07/2021,45
E07000224,Arun,ltla,01/07/2021,35
E07000224,Arun,ltla,30/06/2021,36
E07000224,Arun,ltla,29/06/2021,15
E07000224,Arun,ltla,28/06/2021,12
E07000224,Arun,ltla,27/06/2021,13
E07000224,Arun,ltla,26/06/2021,17
E07000224,Arun,ltla,25/06/2021,22
E07000224,Arun,ltla,24/06/2021,19
E07000224,Arun,ltla,23/06/2021,10
E07000224,Arun,ltla,22/06/2021,12
E07000224,Arun,ltla,21/06/2021,16
E07000224,Arun,ltla,20/06/2021,4
E07000224,Arun,ltla,19/06/2021,9
E07000224,Arun,ltla,18/06/2021,8
E07000224,Arun,ltla,17/06/2021,14
E07000224,Arun,ltla,16/06/2021,14
E07000224,Arun,ltla,15/06/2021,7
E07000224,Arun,ltla,14/06/2021,11
E07000224,Arun,ltla,13/06/2021,6
E07000224,Arun,ltla,12/06/2021,3
E07000224,Arun,ltla,11/06/2021,6
E07000224,Arun,ltla,10/06/2021,5
E07000224,Arun,ltla,09/06/2021,3
E07000224,Arun,ltla,08/06/2021,3
E07000224,Arun,ltla,07/06/2021,6
E07000224,Arun,ltla,06/06/2021,5
E07000224,Arun,ltla,05/06/2021,3
E07000224,Arun,ltla,04/06/2021,2
E07000224,Arun,ltla,03/06/2021,4
E07000224,Arun,ltla,02/06/2021,3
E07000224,Arun,ltla,01/06/2021,3
E07000224,Arun,ltla,31/05/2021,2
E07000224,Arun,ltla,30/05/2021,4
E07000224,Arun,ltla,29/05/2021,2
E07000224,Arun,ltla,28/05/2021,2
E07000224,Arun,ltla,27/05/2021,2
E07000224,Arun,ltla,26/05/2021,0
E07000224,Arun,ltla,25/05/2021,1
E07000224,Arun,ltla,24/05/2021,3
E07000224,Arun,ltla,23/05/2021,1
E07000224,Arun,ltla,22/05/2021,0
