areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByPublishDate
K02000001,United Kingdom,overview,30/04/2021,2381,15
K02000001,United Kingdom,overview,29/04/2021,2445,22
K02000001,United Kingdom,overview,28/04/2021,2166,29
K02000001,United Kingdom,overview,27/04/2021,2685,17
K02000001,United Kingdom,overview,26/04/2021,2064,6
K02000001,United Kingdom,overview,25/04/2021,1712,11
K02000001,United Kingdom,overview,24/04/2021,2061,32
K02000001,United Kingdom,overview,23/04/2021,2678,40
K02000001,United Kingdom,overview,22/04/2021,2729,18
K02000001,United Kingdom,overview,21/04/2021,2396,22
K02000001,United Kingdom,overview,20/04/2021,2524,33
K02000001,United Kingdom,overview,19/04/2021,2963,4
K02000001,United Kingdom,overview,18/04/2021,1882,10
K02000001,United Kingdom,overview,17/04/2021,2206,35
K02000001,United Kingdom,overview,16/04/2021,2596,34
K02000001,United Kingdom,overview,15/04/2021,2672,30
K02000001,United Kingdom,overview,14/04/2021,2491,38
K02000001,United Kingdom,overview,13/04/2021,2472,23
K02000001,United Kingdom,overview,12/04/2021,3568,13
K02000001,United Kingdom,overview,11/04/2021,1730,7
K02000001,United Kingdom,overview,10/04/2021,2589,40
K02000001,United Kingdom,overview,09/04/2021,3150,60
K02000001,United Kingdom,overview,08/04/2021,3030,53
K02000001,United Kingdom,overview,07/04/2021,2763,45
K02000001,United Kingdom,overview,06/04/2021,2379,20
K02000001,United Kingdom,overview,05/04/2021,2762,26
K02000001,United Kingdom,overview,04/04/2021,2297,10
K02000001,United Kingdom,overview,03/04/2021,3423,10
K02000001,United Kingdom,overview,02/04/2021,3402,52
K02000001,United Kingdom,overview,01/04/2021,4479,51
K02000001,United Kingdom,overview,31/03/2021,4052,43
K02000001,United Kingdom,overview,30/03/2021,4040,56
K02000001,United Kingdom,overview,29/03/2021,4654,23
K02000001,United Kingdom,overview,28/03/2021,3862,19
K02000001,United Kingdom,overview,27/03/2021,4715,58
K02000001,United Kingdom,overview,26/03/2021,6187,70
K02000001,United Kingdom,overview,25/03/2021,6397,63
K02000001,United Kingdom,overview,24/03/2021,5605,98
K02000001,United Kingdom,overview,23/03/2021,5379,112
K02000001,United Kingdom,overview,22/03/2021,5342,17
K02000001,United Kingdom,overview,21/03/2021,5312,33
K02000001,United Kingdom,overview,20/03/2021,5587,96
K02000001,United Kingdom,overview,19/03/2021,4802,101
K02000001,United Kingdom,overview,18/03/2021,6303,95
K02000001,United Kingdom,overview,17/03/2021,5758,141
K02000001,United Kingdom,overview,16/03/2021,5294,110
K02000001,United Kingdom,overview,15/03/2021,5089,64
K02000001,United Kingdom,overview,14/03/2021,4618,52
K02000001,United Kingdom,overview,13/03/2021,5534,121
K02000001,United Kingdom,overview,12/03/2021,6609,175
K02000001,United Kingdom,overview,11/03/2021,6753,181
K02000001,United Kingdom,overview,10/03/2021,5926,190
K02000001,United Kingdom,overview,09/03/2021,5766,231
K02000001,United Kingdom,overview,08/03/2021,4712,65
K02000001,United Kingdom,overview,07/03/2021,5177,82
K02000001,United Kingdom,overview,06/03/2021,6040,158
K02000001,United Kingdom,overview,05/03/2021,5947,236
K02000001,United Kingdom,overview,04/03/2021,6573,242
K02000001,United Kingdom,overview,03/03/2021,6385,315
K02000001,United Kingdom,overview,02/03/2021,6391,343
K02000001,United Kingdom,overview,01/03/2021,5455,104
K02000001,United Kingdom,overview,28/02/2021,6035,144
K02000001,United Kingdom,overview,27/02/2021,7434,290
K02000001,United Kingdom,overview,26/02/2021,8523,345
K02000001,United Kingdom,overview,25/02/2021,9985,323
K02000001,United Kingdom,overview,24/02/2021,9938,442
K02000001,United Kingdom,overview,23/02/2021,8489,548
K02000001,United Kingdom,overview,22/02/2021,10641,178
K02000001,United Kingdom,overview,21/02/2021,9834,215
K02000001,United Kingdom,overview,20/02/2021,10406,445
K02000001,United Kingdom,overview,19/02/2021,12027,533
K02000001,United Kingdom,overview,18/02/2021,12057,454
K02000001,United Kingdom,overview,17/02/2021,12718,738
K02000001,United Kingdom,overview,16/02/2021,10625,799
K02000001,United Kingdom,overview,15/02/2021,9765,230
K02000001,United Kingdom,overview,14/02/2021,10972,258
K02000001,United Kingdom,overview,13/02/2021,13308,621
