AcadYear,StuNo,Active,Activedate,CreatedDate
16,1607300,Y,22/08/2016,15/08/2016
16,1506807,Y,23/08/2016,22/08/2016
16,1508468,Y,23/08/2016,15/08/2016
16,1604417,Y,23/08/2016,22/08/2016
16,1607342,Y,23/08/2016,15/08/2016
16,1604402,Y,25/08/2016,22/08/2016
16,1606594,Y,26/08/2016,22/08/2016
16,901790,Y,27/08/2016,26/08/2016
16,1600293,Y,27/08/2016,26/08/2016
16,1600731,Y,27/08/2016,26/08/2016
16,1600904,Y,27/08/2016,26/08/2016
16,1600994,Y,27/08/2016,26/08/2016
16,1603120,Y,27/08/2016,26/08/2016
16,1605156,Y,27/08/2016,26/08/2016
16,1606694,Y,27/08/2016,26/08/2016
16,1602207,Y,28/08/2016,26/08/2016
16,1602209,Y,28/08/2016,26/08/2016
16,1306999,Y,29/08/2016,26/08/2016
16,1600997,Y,29/08/2016,26/08/2016
16,1607456,Y,29/08/2016,26/08/2016
16,1407147,Y,30/08/2016,26/08/2016
16,1601377,Y,30/08/2016,26/08/2016
16,1601810,Y,30/08/2016,30/08/2016
16,1602873,Y,30/08/2016,26/08/2016
16,1605336,Y,30/08/2016,26/08/2016
16,1606795,Y,30/08/2016,26/08/2016
16,1607544,Y,30/08/2016,26/08/2016
16,1304059,Y,31/08/2016,30/08/2016
16,1404180,Y,31/08/2016,26/08/2016
16,1506907,Y,31/08/2016,30/08/2016
16,1600292,Y,31/08/2016,26/08/2016
16,1601270,Y,31/08/2016,26/08/2016
16,1603657,Y,31/08/2016,26/08/2016
16,1604322,Y,31/08/2016,26/08/2016
16,1604747,Y,31/08/2016,22/08/2016
16,1605428,Y,31/08/2016,22/08/2016
16,1302091,Y,01/09/2016,01/09/2016
16,1507443,Y,01/09/2016,30/08/2016
16,1602883,Y,01/09/2016,01/09/2016
16,1603659,Y,01/09/2016,26/08/2016
16,1604997,Y,01/09/2016,01/09/2016
16,1605103,Y,01/09/2016,01/09/2016
16,1606711,Y,01/09/2016,26/08/2016
16,1606962,Y,01/09/2016,01/09/2016
16,1607271,Y,01/09/2016,30/08/2016
16,1607324,Y,01/09/2016,01/09/2016
16,1607351,Y,01/09/2016,01/09/2016
16,1607441,Y,01/09/2016,01/09/2016
16,1607470,Y,01/09/2016,01/09/2016
16,1607473,Y,01/09/2016,01/09/2016
16,1607558,Y,01/09/2016,01/09/2016
16,1607884,Y,01/09/2016,01/09/2016
16,1607910,Y,01/09/2016,01/09/2016
16,603913,Y,02/09/2016,02/09/2016
16,1501372,Y,02/09/2016,01/09/2016
16,1604666,Y,02/09/2016,01/09/2016
16,1606053,Y,02/09/2016,01/09/2016
16,1606492,Y,02/09/2016,01/09/2016
16,1606603,Y,02/09/2016,01/09/2016
16,1606644,Y,02/09/2016,02/09/2016
16,1606780,Y,02/09/2016,01/09/2016
16,1606793,Y,02/09/2016,01/09/2016
16,1606809,Y,02/09/2016,01/09/2016
16,1606963,Y,02/09/2016,01/09/2016
16,1607130,Y,02/09/2016,22/08/2016
16,1607142,Y,02/09/2016,01/09/2016
16,1607162,Y,02/09/2016,01/09/2016
16,1607201,Y,02/09/2016,01/09/2016
16,1607214,Y,02/09/2016,01/09/2016
16,1607229,Y,02/09/2016,01/09/2016
16,1607359,Y,02/09/2016,01/09/2016
16,1607360,Y,02/09/2016,01/09/2016
16,1607375,Y,02/09/2016,01/09/2016
16,1607376,Y,02/09/2016,01/09/2016
16,1607377,Y,02/09/2016,01/09/2016
16,1607385,Y,02/09/2016,01/09/2016
16,1607457,Y,02/09/2016,01/09/2016
16,1607611,Y,02/09/2016,01/09/2016
16,1607644,Y,02/09/2016,02/09/2016
16,1607647,Y,02/09/2016,02/09/2016
16,1607667,Y,02/09/2016,01/09/2016
16,1607685,Y,02/09/2016,01/09/2016
16,1607941,Y,02/09/2016,01/09/2016
16,502123,Y,03/09/2016,02/09/2016
16,801292,Y,03/09/2016,02/09/2016
16,1300101,Y,03/09/2016,02/09/2016
16,1302125,Y,03/09/2016,02/09/2016
16,1303192,Y,03/09/2016,02/09/2016
16,1306806,Y,03/09/2016,02/09/2016
16,1507561,Y,03/09/2016,02/09/2016
16,1507646,Y,03/09/2016,02/09/2016
16,1508014,Y,03/09/2016,02/09/2016
16,1600004,Y,03/09/2016,30/08/2016
16,1600481,Y,03/09/2016,02/09/2016
16,1600613,Y,03/09/2016,02/09/2016
16,1600733,Y,03/09/2016,02/09/2016
16,1601494,Y,03/09/2016,02/09/2016
16,1601496,Y,03/09/2016,02/09/2016
16,1601681,Y,03/09/2016,02/09/2016
16,1602083,Y,03/09/2016,02/09/2016
16,1602876,Y,03/09/2016,02/09/2016
16,1602877,Y,03/09/2016,02/09/2016
16,1603117,Y,03/09/2016,02/09/2016
16,1603704,Y,03/09/2016,02/09/2016
16,1604062,Y,03/09/2016,02/09/2016
16,1604385,Y,03/09/2016,02/09/2016
16,1604708,Y,03/09/2016,02/09/2016
16,1605797,Y,03/09/2016,02/09/2016
16,1606693,Y,03/09/2016,02/09/2016
16,1606740,Y,03/09/2016,02/09/2016
16,1606790,Y,03/09/2016,02/09/2016
16,1606791,Y,03/09/2016,02/09/2016
16,1606805,Y,03/09/2016,02/09/2016
16,1607134,Y,03/09/2016,02/09/2016
16,1607466,Y,03/09/2016,02/09/2016
16,1607545,Y,03/09/2016,02/09/2016
16,1607574,Y,03/09/2016,02/09/2016
16,1607625,Y,03/09/2016,02/09/2016
16,1607637,Y,03/09/2016,02/09/2016
16,700616,Y,04/09/2016,02/09/2016
16,1100702,Y,04/09/2016,02/09/2016
16,1107488,Y,04/09/2016,02/09/2016
16,1201870,Y,04/09/2016,02/09/2016
16,1301366,Y,04/09/2016,02/09/2016
16,1303493,Y,04/09/2016,02/09/2016
16,1403337,Y,04/09/2016,02/09/2016
16,1501924,Y,04/09/2016,02/09/2016
16,1501966,Y,04/09/2016,02/09/2016
16,1507004,Y,04/09/2016,02/09/2016
16,1507319,Y,04/09/2016,02/09/2016
16,1600010,Y,04/09/2016,02/09/2016
16,1600338,Y,04/09/2016,02/09/2016
16,1600429,Y,04/09/2016,02/09/2016
16,1600497,Y,04/09/2016,02/09/2016
16,1600497,Y,04/09/2016,02/09/2016
16,1600536,Y,04/09/2016,02/09/2016
