AcadYear,StuNo,Active,Activedate,CreatedDate
18,1806506,Y,09/09/2018,28/08/2018
18,1706556,Y,30/08/2018,28/08/2018
18,1800018,Y,04/09/2018,28/08/2018
18,1802628,Y,15/09/2018,28/08/2018
18,1800020,Y,30/08/2018,28/08/2018
18,1705707,Y,17/09/2018,28/08/2018
18,1800014,Y,03/09/2018,28/08/2018
18,1702942,Y,18/09/2018,28/08/2018
18,1705118,Y,20/09/2018,28/08/2018
18,1704346,Y,02/09/2018,28/08/2018
18,1800021,Y,17/09/2018,28/08/2018
18,1802616,Y,20/09/2018,28/08/2018
18,1800193,Y,25/09/2018,28/08/2018
18,1704233,Y,04/09/2018,28/08/2018
18,1703093,Y,12/09/2018,28/08/2018
18,1703594,Y,18/10/2018,28/08/2018
18,1703545,Y,01/09/2018,28/08/2018
18,1703397,Y,30/08/2018,28/08/2018
18,1704841,Y,03/09/2018,28/08/2018
18,1802197,Y,09/09/2019,28/08/2018
18,1801958,Y,03/09/2018,28/08/2018
18,1800371,Y,14/09/2018,28/08/2018
18,1801966,Y,30/08/2018,28/08/2018
18,1801978,Y,05/09/2018,28/08/2018
18,1800353,Y,03/09/2018,28/08/2018
18,1802016,Y,04/09/2018,28/08/2018
18,1802064,Y,04/09/2018,28/08/2018
18,1802077,Y,10/09/2018,28/08/2018
18,1800263,Y,26/09/2018,28/08/2018
18,1802097,Y,03/09/2018,28/08/2018
18,1802366,Y,02/09/2018,28/08/2018
18,1802107,Y,25/09/2018,28/08/2018
18,1802542,Y,02/09/2018,28/08/2018
18,1800212,Y,01/09/2018,28/08/2018
18,1701435,Y,24/09/2018,28/08/2018
18,1802363,Y,19/09/2018,28/08/2018
18,1702909,Y,01/09/2018,28/08/2018
18,1802443,Y,20/09/2018,28/08/2018
18,1800076,Y,05/09/2018,28/08/2018
18,1802499,Y,06/09/2018,28/08/2018
18,1800052,Y,31/08/2018,28/08/2018
18,1802521,Y,01/09/2018,28/08/2018
18,1802538,Y,17/09/2018,28/08/2018
18,1800232,Y,03/09/2018,28/08/2018
18,1803278,Y,03/09/2018,28/08/2018
18,1802693,Y,02/09/2018,28/08/2018
18,1803021,Y,10/09/2018,28/08/2018
18,1803026,Y,07/09/2018,28/08/2018
18,1804614,Y,06/09/2018,28/08/2018
18,1804840,Y,09/09/2018,28/08/2018
18,1803125,Y,01/09/2018,28/08/2018
