Month,tmax,tmin,af,rain,sun
1,8,1.9,8,52.5,55.9
2,6,0.3,14,33.5,57
3,10,2.5,8,51.4,98.2
4,11,1.4,11,16.9,120.9
5,15,6,0,59.1,152.8
6,18,8.5,0,59.9,126.9
7,19,9.6,0,45.3,159.1
8,18,9.4,0,126.5,163
9,20,10.3,0,46.3,143.6
10,13,6,2,37.5,123.4
11,8,1.1,9,85.6,56.4
12,3,-1.4,19,44.1,10.8
1,5,-1.7,19,25.7,49.7
2,9,0,14,2.1,91.6
3,7,-0.1,13,69,111.5
4,9,1.2,7,41.9,107.5
5,13,3.6,4,36.9,161.5
6,18,8.9,0,4.1,175.1
7,20,10.6,0,106.6,151.1
8,18,10,0,126.7,100.6
9,18,9.1,0,47.4,128.4
10,12,4.9,3,48.9,76.8
11,8,2.2,8,56.9,42.2
12,6,-0.5,12,57.5,56.2
1,4,-1.4,19,48.6,47.6
2,6,-0.6,12,49.2,64.6
3,7,-1.9,25,28.9,139.1
4,11,1,12,33.3,172.8
5,15,5.4,2,59.5,156.8
6,17,7.4,0,80.2,176
7,17,9.2,0,42.9,123
8,18,9.9,0,99.7,121.7
9,15,7.5,0,74.2,116.6
10,10,2.9,6,141.7,71.8
11,8,2.6,5,31.5,37.6
12,4,-1.9,22,24.4,57.6
1,5,-0.4,10,33.5,37.1
2,6,0.5,11,54,72.6
3,12,1.7,11,11.1,166.3
4,14,2.5,2,9.4,172.7
5,17,6.3,0,59,160.4
6,20,9.5,0,20.7,194.2
7,20,10.2,0,114.1,135.9
8,22,11.6,0,54.1,194.8
9,17,7.4,0,45.1,139.5
10,14,4.9,3,18.1,150.6
11,8,1.7,9,60.1,51.9
12,8,1.5,7,32.9,51.9
1,5,-0.6,13,27.3,46.4
2,8,0.1,11,52.1,76.2
3,12,0.7,11,22.9,191.4
4,13,3.3,3,28,125.8
5,12,3.4,5,72.3,172.7
6,17,7.7,0,94.1,146.3
7,21,10.9,0,40.4,177.3
8,18,9.3,0,64,108.4
9,14,6.9,0,22.1,90.7
10,11,4.3,3,128.9,53.1
11,10,4.5,0,19.8,56.9
12,7,0.8,15,32.7,48.1
1,2,-3.7,26,94.6,43.4
2,2,-4.8,23,34,81.9
3,8,0.8,11,48.9,91.1
4,12,3.1,7,33.8,144.3
5,16,5.5,0,21,197.5
6,20,7.4,0,32.5,222.9
7,19,9.8,0,126.1,143.7
8,20,10.9,0,59,140.6
9,20,9.4,0,15.1,203.9
10,10,2.4,10,125.4,112.2
11,10,3.2,5,62.7,45.6
12,5,0.2,14,47.1,29.8
1,7,1.5,11,17.9,62.8
2,8,1.1,11,12.8,40.4
3,10,1.6,9,46.7,111.1
4,14,3.8,1,20.6,153.8
5,16,5.2,1,13.6,190.6
1,8.6,3.9,2,80.6,55.6
2,8.5,3.2,2,85.1,105.2
3,12.2,7.4,0,83.1,98.3
4,11.3,6.2,0,7.4,181.1
5,13.6,7.4,0,54.1,268.7
6,18.2,10.6,0,48.5,327
7,17.7,12.7,0,123.2,142.8
8,17.7,12.5,0,52.3,153.4
6,21,9.8,0,50.8,198.3
7,21,10.1,0,64.1,179.2
8,18,9.7,0,53.3,97.1
9,16,8.5,0,56.7,90.7
10,9,2.7,6,148.8,79.9
11,8,1.5,11,34.1,52.1
12,6,0.7,14,103.9,35
1,3,-1.2,19,47.2,40.7
2,8,1.7,11,24,59.8
3,9,1.9,9,61.6,95.9
4,10,1.7,8,42.2,152
5,13,3.8,2,37.1,197.9
6,18,9,0,74.7,144.7
7,21,10.2,0,31.3,233.3
8,21,10.8,0,60.7,206
9,16,6.6,0,54.4,112.7
10,13,5.6,2,36.1,104.3
11,10,4.2,4,44.5,29.3
12,7,0.9,11,40.4,31.9
1,9,3,6,25.4,40.9
2,8,0.3,13,19.1,100.8
3,8,0.1,17,49.7,118.1
4,12,3.3,2,51.8,128.5
5,13,4.1,1,41.4,148.1
6,18,7.9,0,38.8,137.2
7,20,8.9,0,16.4,208.9
8,20,10.4,0,45.5,157.1
